primary_type,date,value
ARSON,2016-05-16,5
ARSON,2016-05-17,3
ARSON,2016-05-18,2
ARSON,2016-05-19,1
ARSON,2016-05-20,3
ARSON,2016-05-21,3
ARSON,2016-05-22,2
ARSON,2016-05-23,1
ARSON,2016-05-24,2
ARSON,2016-05-25,1
ARSON,2016-05-26,2
ARSON,2016-05-27,1
ARSON,2016-05-28,3
ARSON,2016-05-29,3
ARSON,2016-05-30,1
ARSON,2016-05-31,4
ARSON,2016-06-01,1
ARSON,2016-06-02,2
ARSON,2016-06-04,1
ARSON,2016-06-05,1
ARSON,2016-06-06,1
ARSON,2016-06-07,1
ARSON,2016-06-08,1
ARSON,2016-06-10,1
ARSON,2016-06-12,2
ARSON,2016-06-14,1
ARSON,2016-06-15,1
ARSON,2016-06-16,4
ARSON,2016-06-17,1
ARSON,2016-06-19,3
ARSON,2016-06-20,1
ARSON,2016-06-21,2
ARSON,2016-06-22,2
ARSON,2016-06-23,3
ARSON,2016-06-24,2
ARSON,2016-06-25,3
ARSON,2016-06-26,3
ARSON,2016-06-27,1
ARSON,2016-06-28,1
ARSON,2016-06-29,1
ARSON,2016-06-30,1
ARSON,2016-07-01,1
ARSON,2016-07-02,2
ARSON,2016-07-03,3
ARSON,2016-07-04,2
ARSON,2016-07-05,3
ARSON,2016-07-07,1
ARSON,2016-07-08,1
ARSON,2016-07-09,5
ARSON,2016-07-10,2
ARSON,2016-07-11,2
ARSON,2016-07-12,3
ARSON,2016-07-13,1
ARSON,2016-07-16,2
ARSON,2016-07-18,3
ARSON,2016-07-19,3
ARSON,2016-07-20,1
ARSON,2016-07-21,1
ARSON,2016-07-22,2
ARSON,2016-07-23,1
ARSON,2016-07-25,3
ARSON,2016-07-26,1
ARSON,2016-07-27,3
ARSON,2016-07-29,1
ARSON,2016-08-01,3
ARSON,2016-08-02,1
ARSON,2016-08-05,1
ARSON,2016-08-07,4
ARSON,2016-08-08,2
ARSON,2016-08-09,1
ARSON,2016-08-10,1
ARSON,2016-08-11,2
ARSON,2016-08-12,1
ARSON,2016-08-14,4
ARSON,2016-08-15,2
ARSON,2016-08-16,1
ARSON,2016-08-17,3
ARSON,2016-08-19,2
ARSON,2016-08-20,2
ARSON,2016-08-21,1
ARSON,2016-08-22,2
ARSON,2016-08-23,1
ARSON,2016-08-24,4
ARSON,2016-08-25,1
ARSON,2016-08-27,2
ARSON,2016-08-29,2
ARSON,2016-08-30,2
ARSON,2016-08-31,1
ARSON,2016-09-01,2
ARSON,2016-09-03,2
ARSON,2016-09-04,2
ARSON,2016-09-09,1
ARSON,2016-09-10,6
ARSON,2016-09-11,1
ARSON,2016-09-13,4
ARSON,2016-09-14,1
ARSON,2016-09-15,1
ARSON,2016-09-16,7
ARSON,2016-09-17,1
ARSON,2016-09-18,4
ARSON,2016-09-21,2
ARSON,2016-09-22,1
ARSON,2016-09-23,2
ARSON,2016-09-24,4
ARSON,2016-09-25,1
ARSON,2016-09-26,1
ARSON,2016-09-27,1
ARSON,2016-09-30,1
ARSON,2016-10-01,1
ARSON,2016-10-02,1
ARSON,2016-10-04,2
ARSON,2016-10-05,2
ARSON,2016-10-06,3
ARSON,2016-10-07,1
ARSON,2016-10-08,1
ARSON,2016-10-09,1
ARSON,2016-10-10,2
ARSON,2016-10-13,1
ARSON,2016-10-14,4
ARSON,2016-10-15,1
ARSON,2016-10-16,1
ARSON,2016-10-17,2
ARSON,2016-10-18,4
ARSON,2016-10-19,1
ARSON,2016-10-21,2
ARSON,2016-10-22,1
ARSON,2016-10-23,3
ARSON,2016-10-24,1
ARSON,2016-10-25,2
ARSON,2016-10-26,1
ARSON,2016-10-27,1
ARSON,2016-10-28,3
ARSON,2016-10-29,8
ARSON,2016-10-31,1
ARSON,2016-11-01,2
ARSON,2016-11-02,3
ARSON,2016-11-03,2
ARSON,2016-11-04,1
ARSON,2016-11-07,1
ARSON,2016-11-09,1
ARSON,2016-11-10,3
ARSON,2016-11-12,2
ARSON,2016-11-14,2
ARSON,2016-11-15,1
ARSON,2016-11-18,2
ARSON,2016-11-19,2
ARSON,2016-11-21,1
ARSON,2016-11-22,1
ARSON,2016-11-23,4
ARSON,2016-11-25,3
ARSON,2016-11-26,1
ARSON,2016-11-28,1
ARSON,2016-11-29,1
ARSON,2016-12-01,5
ARSON,2016-12-02,2
ARSON,2016-12-03,3
ARSON,2016-12-04,2
ARSON,2016-12-06,2
ARSON,2016-12-07,3
ARSON,2016-12-09,3
ARSON,2016-12-10,1
ARSON,2016-12-12,2
ARSON,2016-12-15,2
ARSON,2016-12-17,1
ARSON,2016-12-18,2
ARSON,2016-12-20,2
ARSON,2016-12-21,1
ARSON,2016-12-24,1
ARSON,2016-12-25,2
ARSON,2016-12-28,2
ARSON,2016-12-30,1
ARSON,2017-01-02,3
ARSON,2017-01-03,1
ARSON,2017-01-04,1
ARSON,2017-01-05,1
ARSON,2017-01-06,1
ARSON,2017-01-08,1
ARSON,2017-01-12,1
ARSON,2017-01-13,2
ARSON,2017-01-14,3
ARSON,2017-01-19,3
ARSON,2017-01-20,3
ARSON,2017-01-21,1
ARSON,2017-01-22,4
ARSON,2017-01-23,1
ARSON,2017-01-26,1
ARSON,2017-01-27,1
ARSON,2017-01-28,4
ARSON,2017-01-29,3
ARSON,2017-01-30,3
ARSON,2017-02-01,1
ARSON,2017-02-02,1
ARSON,2017-02-03,2
ARSON,2017-02-04,1
ARSON,2017-02-05,1
ARSON,2017-02-06,1
ARSON,2017-02-08,1
ARSON,2017-02-09,3
ARSON,2017-02-10,2
ARSON,2017-02-11,1
ARSON,2017-02-12,1
ARSON,2017-02-13,1
ARSON,2017-02-14,2
ARSON,2017-02-15,3
ARSON,2017-02-16,1
ARSON,2017-02-17,1
ARSON,2017-02-18,4
ARSON,2017-02-20,2
ARSON,2017-02-22,4
ARSON,2017-02-25,3
ARSON,2017-02-26,1
ARSON,2017-02-27,2
ARSON,2017-02-28,1
ARSON,2017-03-01,2
ARSON,2017-03-04,1
ARSON,2017-03-05,1
ARSON,2017-03-06,1
ARSON,2017-03-07,3
ARSON,2017-03-08,2
ARSON,2017-03-09,1
ARSON,2017-03-10,1
ARSON,2017-03-11,3
ARSON,2017-03-12,2
ARSON,2017-03-13,1
ARSON,2017-03-17,1
ARSON,2017-03-19,2
ARSON,2017-03-21,1
ARSON,2017-03-23,1
ARSON,2017-03-27,1
ARSON,2017-03-28,1
ARSON,2017-03-29,1
ARSON,2017-03-30,1
ARSON,2017-04-01,1
ARSON,2017-04-02,2
ARSON,2017-04-03,3
ARSON,2017-04-04,3
ARSON,2017-04-05,4
ARSON,2017-04-07,1
ARSON,2017-04-09,1
ARSON,2017-04-10,4
ARSON,2017-04-11,4
ARSON,2017-04-12,1
ARSON,2017-04-13,2
ARSON,2017-04-16,2
ARSON,2017-04-17,1
ARSON,2017-04-18,4
ARSON,2017-04-19,1
ARSON,2017-04-21,3
ARSON,2017-04-22,1
ARSON,2017-04-23,2
ARSON,2017-04-24,1
ARSON,2017-04-25,2
ARSON,2017-04-26,1
ARSON,2017-04-27,1
ARSON,2017-04-30,2
ARSON,2017-05-01,1
ARSON,2017-05-02,1
ARSON,2017-05-04,2
ARSON,2017-05-05,1
ARSON,2017-05-06,1
ARSON,2017-05-07,1
ARSON,2017-05-08,2
ARSON,2017-05-10,1
ARSON,2017-05-12,2
ARSON,2017-05-13,1
ARSON,2017-05-14,1
ARSON,2017-05-17,1
ARSON,2017-05-18,2
ARSON,2017-05-19,1
ARSON,2017-05-20,1
ARSON,2017-05-22,4
ARSON,2017-05-24,3
ARSON,2017-05-25,2
ARSON,2017-05-26,1
ARSON,2017-05-27,1
ARSON,2017-05-28,1
ARSON,2017-05-30,5
ARSON,2017-05-31,2
ARSON,2017-06-01,2
ARSON,2017-06-02,4
ARSON,2017-06-04,2
ARSON,2017-06-05,1
ARSON,2017-06-06,3
ARSON,2017-06-07,1
ARSON,2017-06-10,1
ARSON,2017-06-12,4
ARSON,2017-06-13,1
ARSON,2017-06-14,3
ARSON,2017-06-15,1
ARSON,2017-06-17,3
ARSON,2017-06-19,3
ARSON,2017-06-20,2
ARSON,2017-06-21,4
ARSON,2017-06-22,4
ARSON,2017-06-23,1
ARSON,2017-06-25,3
ARSON,2017-06-27,1
ARSON,2017-06-29,2
ARSON,2017-07-01,1
ARSON,2017-07-02,2
ARSON,2017-07-03,1
ARSON,2017-07-05,2
ARSON,2017-07-06,2
ARSON,2017-07-08,2
ARSON,2017-07-09,2
ARSON,2017-07-13,1
ARSON,2017-07-14,2
ARSON,2017-07-15,2
ARSON,2017-07-17,3
ARSON,2017-07-18,1
ARSON,2017-07-19,3
ARSON,2017-07-20,1
ARSON,2017-07-21,1
ARSON,2017-07-22,1
ARSON,2017-07-23,1
ARSON,2017-07-24,3
ARSON,2017-07-27,1
ARSON,2017-07-31,2
ARSON,2017-08-01,2
ARSON,2017-08-03,2
ARSON,2017-08-06,4
ARSON,2017-08-07,2
ARSON,2017-08-10,2
ARSON,2017-08-11,2
ARSON,2017-08-13,2
ARSON,2017-08-14,2
ARSON,2017-08-18,2
ARSON,2017-08-19,1
ARSON,2017-08-20,3
ARSON,2017-08-22,1
ARSON,2017-08-23,3
ARSON,2017-08-25,6
ARSON,2017-08-26,1
